time,impact_x,impact_y,impact_z,hit
2.410240650177002,150.0201,7.802575,225.9142,terrain
8.769997596740723,150.0201,7.847558,230.3253,terrain
15.122076272964478,150.0201,7.884524,234.7241,terrain
21.422565937042236,150.0201,7.765345,240.223,terrain
27.736653804779053,150.0201,7.848547,244.5913,terrain
34.13684582710266,150.0201,7.754706,250.0537,terrain
40.404175758361816,150.0201,7.85587,254.3864,terrain
46.80220890045166,150.0201,7.797504,259.8081,terrain
53.09454298019409,150.0201,7.704801,265.2085,terrain
59.437241077423096,150.0201,7.822409,269.4783,terrain
65.73487067222595,150.0201,7.739419,274.8321,terrain
72.04878449440002,150.0201,7.652649,280.1577,terrain
78.37384247779846,150.0201,7.774965,280.1421,terrain
84.59675931930542,150.0201,7.774263,280.1421,terrain
90.82417917251587,150.0201,7.747141,280.1421,terrain
97.01637554168701,150.0201,7.746119,280.1421,terrain
103.26952958106995,150.0201,7.748098,280.1421,terrain
109.52925133705139,150.0201,7.760475,280.1421,terrain
115.75633931159973,150.0201,7.758629,280.1421,terrain
122.01659154891968,150.0201,7.745747,280.1421,terrain
128.25128722190857,150.0201,7.756248,280.1421,terrain
134.41865229606628,150.0201,7.819265,274.8171,terrain
140.61995458602905,150.0201,7.690197,270.5715,terrain
146.73646926879883,150.0201,7.772065,265.1955,terrain
152.93233466148376,150.0201,7.834807,259.7983,terrain
159.0778043270111,150.02,7.749433,255.4861,terrain
165.29350686073303,150.0201,7.819428,250.0458,terrain
171.39394283294678,150.0201,7.729496,245.6955,terrain
177.59678411483765,150.0201,7.815667,240.218,terrain
183.8208601474762,150.0201,7.761685,235.8356,terrain
189.91269183158875,150.0201,7.888562,230.3215,terrain
196.1621434688568,150.0201,7.821648,225.9115,terrain
202.3680830001831,150.0201,7.798319,221.4881,terrain
208.53183102607727,150.0201,7.796013,217.0528,terrain
214.69985342025757,150.0201,7.83119,212.6075,terrain
220.85664701461792,150.0201,7.879568,208.1544,terrain
227.07075142860413,150.0201,7.930738,203.6929,terrain
233.3157730102539,150.0201,7.861452,200.3451,terrain
239.613995552063,150.0201,7.836673,196.9917,terrain
245.8857705593109,150.0201,7.836119,193.6336,terrain
252.19520330429077,150.0201,7.848822,190.2721,terrain
258.4391040802002,150.0201,7.874129,186.9079,terrain
264.64864778518677,150.0201,7.942978,183.5414,terrain
270.9766092300415,150.0201,7.946714,181.2935,terrain
277.2848000526428,150.0201,7.925927,179.0444,terrain
283.5590994358063,150.0201,7.833615,177.9134,terrain
289.83325576782227,150.0201,7.859846,175.6632,terrain
296.08784675598145,150.0201,7.921055,173.414,terrain
302.35580587387085,150.0201,7.873379,172.2822,terrain
308.7002532482147,150.0201,7.919676,171.1556,terrain
315.02225136756897,150.0201,7.910456,171.1556,terrain
